RAG_K1,RAG_K2,RAG_K3,RAG_K4,RAG_P1,RAG_P2,RAG_P3,RAG_P4,RAG_V1,RAG_V2,RAG_V3,RAG_V4,RAG_E1,RAG_E2,RAG_E3,RAG_E4
3,4,4,4,4,2,3,4,4,3,4,4,4,4,1,4
2,4,1,4,4,2,4,4,2,3,4,4,2,4,4,2
2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4
2,4,4,4,4,4,2,1,4,4,4,4,1,2,4,4
4,4,1,3,4,1,4,1,4,2,3,4,1,4,4,4
2,4,4,4,3,4,1,4,4,4,4,4,3,4,3,4
4,4,1,4,3,3,1,4,3,4,4,4,4,1,2,4
3,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4
2,4,3,4,1,4,4,4,4,3,4,4,1,2,1,4
4,3,4,4,4,4,4,4,4,4,2,4,3,4,4,4
4,4,4,2,3,3,4,4,4,4,4,4,1,4,4,2
3,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4
4,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4
